,Diseases,Number of times a disease occurred in polygenic risk score's related articles
168,Proportion of miscarriages,0
169,Proportion of miscarriages in continuous marriage,0
170,Number of stillbirths,0
171,Number of stillbirths in continuous marriage,0
172,Proportion of stillbirths,0
173,Proportion of stillbirths in continuous marriage,0
174,Number of pregnancies in continuous marriage,0
175,Number of twin births,0
176,Number of twin births in continuous marriage,0
177,Age at last pregnancy,0
178,Age at last pregnancy in continuous marriage,0
180,Age at first birth in continuous marriage,0
182,Ankle injury,0
189,Smoking behaviour (cigarettes smoked per day),0
190,Smoking behaviour (cigarette pack-years),0
193,Chronic mountain sickness,0
195,Urinary albumin-to-creatinine ratio in diabetes,0
198,Regular attendance at a gym or sports club,0
199,Regular attendance at a pub or social club,0
200,Regular attendance at a religious group,0
201,Loneliness (MTAG),0
208,Stress sensitivity (neuroticism score x major depressive disorder status interaction),0
209,BMI-adjusted waist-hip ratio variance,0
210,Body fat percentage variance,0
211,Basal metabolic rate variance,0
212,Body mass index variance,0
213,Waist circumference variance,0
214,Hip circumference variance,0
215,Waist-hip ratio variance,0
217,Lung function (forced vital capacity) variance,0
218,Lung function (FEV1) variance,0
219,Lung function (FEV1/FVC) variance,0
220,Heel bone mineral density variance,0
221,Birth weight variance,0
222,Total body bone mineral density,0
223,Total body bone mineral density (age 0-15),0
224,Total body bone mineral density (age 15-30),0
225,Total body bone mineral density (age 30-45),0
226,Total body bone mineral density (age 45-60),0
227,Total body bone mineral density (age over 60),0
228,Neurociticism,0
231,Feeling miserable,0
232,Experiencing mood swings,0
235,Feeling fed-up,0
238,Feeling worry,0
239,Feeling hurt,0
246,GLP-1-stimulated insulin secretion,0
249,Osteoarthritis (self-reported),0
250,Osteoarthritis of the hip (hospital diagnosed),0
251,Osteoarthritis (hospital diagnosed),0
252,Osteoarthritis of the knee (hospital diagnosed),0
253,Osteoarthritis of the hip or knee (hospital diagnosed),0
254,Hirschsprung disease,0
257,Blood urea nitrogen levels,0
260,Urinary potassium excretion,0
261,"Allergic disease (asthma, hay fever or eczema)",0
262,Alzheimer's disease or family history of Alzheimer's disease,0
263,Poor prognosis in Crohn's disease,0
264,Oxygen saturation of hemoglobin levels,0
266,Oxygenated hemoglobin levels,0
267,Deoxygenated hemoglobin levels,0
268,Child death (Number of children surviving at 1 year but died <5 years),0
269,Child death in continuous marriage (Number of children surviving at 1 year but died <5 years),0
270,Child survival (Number of children surviving at 5 years),0
271,Child survival in continuous marriage (Number of children surviving at 5 years),0
272,Child death (Proportion of children surviving at 1 year but died <5 years),0
273,Child death in continuous marriage (Proportion of children surviving at 1 year but died <5 years),0
274,Child survival (Proportion of children surviving at 5 years),0
275,Child survival in continuous marriage (Proportion of children surviving at 5 years),0
276,Juvenile death (Number of children surviving at 5 years but died <15 years),0
277,Juvenile death in continuous marriage (Number of children surviving at 5 years but died <15 years),0
278,Juvenile death (Proportion of children surviving at 5 years but died <15 years),0
279,Juvenile death in continuous marriage (Proportion of children surviving at 5 years but died <15 years),0
280,Juvenile survival (Number of children surviving at 15 years),0
281,Juvenile survival in continuous marriage (Number of children surviving at 15 years),0
282,Juvenile survival (Proportion of children surviving at 15 years),0
283,Juvenile survival in continuous marriage (Proportion of children surviving at 15 years),0
285,Number of live births in continuous marriage,0
286,Proportion of live births,0
287,Proportion of live births in continuous marriage,0
289,Paternal history of Alzheimer's disease,0
290,Family history of Alzheimer's disease,0
291,Maternal history of Alzheimer's disease,0
293,Predicted visceral adipose tissue,0
294,Longevity (age >90th survival percentile),0
295,Longevity (age >99th survival percentile),0
303,CD4:CD8 lymphocyte ratio,0
304,CD3-positive T-lymphocyte count,0
305,CD4-positive T-lymphocyte count,0
306,CD8-positive T-lymphocyte count,0
307,CD19-positive B-lymphocyte count,0
308,CD56-positive NK-lymphocyte cell count,0
315,LDL cholesterol levels,0
316,HDL cholesterol levels,0
317,Attention deficit hyperactivity disorder symptom score,0
324,Parental longevity (father's age at death),0
325,Parental longevity (combined parental age at death),0
326,Parental extreme longevity (95 years and older),0
327,Response to lithium treatment in bipolar disorder (dichotomous phenotype),0
328,Response to lithium treatment in bipolar disorder (continuous phenotype),0
338,Sleep duration (oversleepers),0
339,Sleep duration (undersleepers),0
341,Two-hour glucose challenge,0
359,Palmitic acid (16:0) levels,0
360,Palmitoleic acid (16:1n-7) levels,0
361,Stearic acid (18:0) levels,0
362,Oleic acid (18:1n-9) levels,0
363,Cystic fibrosis (meconium ileus),0
365,Intelligence (childhood),0
368,Crohn's disease,0
373,Alzheimer's disease (late onset),0
377,Fasting blood insulin (BMI interaction),0
378,Fasting blood glucose (BMI interaction),0
379,Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid),0
380,Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid),0
381,Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid),0
382,Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid),0
385,circulating leptin levels adjusted for BMI,0
388,Childhood and early adolescence aggressive behavior,0
389,Periodontal disease-related phenotype (Socransky),0
390,Periodontal disease related phenotype (PCT2),0
391,Periodontal disease related phenotype (PCT3),0
392,Periodontal disease related phenotype (PCT4),0
393,Periodontal disease related phenotype (PCT5),0
394,Periodontal disease related phenotype (PCT6),0
398,beta-nerve growth factor levels,0
400,CTACK levels,0
401,Eotaxin levels,0
402,Fibroblast growth factor basic levels,0
403,Granulocyte-colony stimulating factor levels,0
404,Growth-regulated protein alpha levels,0
406,Interferon gamma levels,0
407,Interleukin-1-beta levels,0
408,Interleukin-1-receptor antagonist levels,0
409,Interleukin-2 levels,0
410,Interleukin-2 receptor antagonist levels,0
411,Interleukin-4 levels,0
412,Interleukin-5 levels,0
414,Interleukin-7 levels,0
416,Interleukin-9 levels,0
417,Interleukin-10 levels,0
418,Interleukin-13 levels,0
419,Interleukin-17 levels,0
421,Macrophage Migration Inhibitory Factor levels,0
422,Interferon gamma-induced protein 10 levels,0
423,Interleukin-12p70 levels,0
424,Interleukin-16 levels,0
426,Monocyte chemoattractant protein-3 levels,0
427,Macrophage colony stimulating factor levels,0
428,Monokine induced by gamma interferon levels,0
429,Macrophage inflammatory protein 1a levels,0
430,Macrophage inflammatory protein 1b levels,0
431,Platelet-derived growth factor BB levels,0
432,RANTES levels,0
433,Stem cell factor levels,0
434,Stem cell growth factor beta levels,0
435,Stromal-cell-derived factor 1 alpha levels,0
436,Tumor necrosis factor alpha levels,0
437,Tumor necrosis factor beta levels,0
438,TRAIL levels,0
439,Myeloid white cell count,0
442,Lymphocyte percentage of white cells,0
444,Basophil percentage of granulocytes,0
446,Heart rate increase in response to exercise,0
447,Heart rate response to recovery post exercise (30 sec),0
448,Heart rate response to recovery post exercise (40 sec),0
449,Heart rate response to recovery post exercise (50 sec),0
450,Heart rate response to recovery post exercise (10 sec),0
451,Heart rate response to recovery post exercise (20 sec),0
455,Monocyte percentage of white cells,0
457,Sum neutrophil eosinophil counts,0
459,High light scatter reticulocyte percentage of red cells,0
463,White blood cell count (basophil),0
464,Reticulocyte fraction of red cells,0
465,Sum basophil neutrophil counts,0
467,Neutrophil percentage of granulocytes,0
469,Attention deficit hyperactivity disorder (sex interaction),0
470,Sex difference in attention deficit hyperactivity disorder,0
472,Glaucoma (primary open-angle),0
474,Amyotrophic lateral sclerosis (sporadic),0
476,Neuroblastoma (11q deletion),0
477,Neuroblastoma (1p deletion),0
478,Neuroblastoma (MYCN amplification),0
481,Squamous cell lung carcinoma,0
483,Lung cancer in ever smokers,0
485,Body mass index (age>50),0
486,Body mass index (age <50),0
487,Waist-to-hip ratio adjusted for BMI (age <50),0
488,Waist-to-hip ratio adjusted for BMI (age >50),0
489,Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular),0
490,Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis),0
494,"Multiple traits (2,148)",0
495,"Multiple traits (2,173)",0
496,Buruli ulcer,0
497,Buruli ulcer (age at onset),0
498,Leisure sedentary behaviour (television watching),0
499,Leisure sedentary behaviour (computer use),0
500,Driving (hours per day),0
501,Neck pain or shoulder pain,0
502,COVID-19 (hospitalized vs population) RELEASE 4,0
503,COVID-19 (RELEASE 5),0
504,COVID-19 (hospitalized vs not hospitalized) RELEASE 5,0
505,COVID-19 (very severe respiratory confirmed vs population) RELEASE 3,0
506,COVID-19 (hospitalized vs not hospitalized) RELEASE 3,0
507,COVID-19 (hospitalized vs population) RELEASE 3,0
508,COVID-19 (covid vs lab/self reported negative) RELEASE 3,0
509,COVID-19 (RELEASE 3),0
510,COVID-19 (predicted from self-reported symptoms vs predicted or self-reported non-covid) RELEASE 3,0
511,COVID-19 (very severe respiratory confirmed vs population) RELEASE 5,0
512,COVID-19 (hospitalized vs population) RELEASE 5,0
513,COVID-19 (RELEASE 4),0
514,COVID-19 (very severe respiratory confirmed vs population) RELEASE 4,0
515,COVID-19 (hospitalized covid vs not hospitalized) RELEASE 4,0
516,COVID-19 (predicted covid from self-reported symptoms vs predicted or self-reported non-covid) RELEASE 4,0
517,COVID-19 (very severe respiratory confirmed vs not hospitalized) RELEASE 4,0
518,COVID-19 (covid vs lab/self reported negative) RELEASE 4,0
519,Interleukin-6 receptor subunit alpha levels,0
520,C-X-C motif chemokine 10 levels,0
521,CCL24 levels,0
522,MHC class I polypeptide-related sequence A levels,0
523,CD40 ligand levels,0
524,CXCL5 levels,0
525,kallikrein-11 levels,0
526,epithelial cell adhesion molecule levels,0
527,interleukin 17 receptor B levels,0
528,interleukin 12 receptor subunit beta-1 levels,0
529,vascular endothelial growth factor D levels,0
530,E-selectin levels,0
531,melanoma-derived growth regulatory protein levels,0
532,CCL19 levels,0
533,Salivary metabolite levels,0
535,Serum metabolite levels (CMS),0
537,Parkinson's disease or first degree relation to individual with Parkinson's disease,0
538,Retinal detachment or retinal break,0
539,Refractive error (age-at-onset of spectacle wearing-inferred),0
540,Refractive error (autorefraction measured),0
542,Lipoprotein lipase levels,0
543,Serine/threonine-protein kinase 4 levels,0
544,Tyrosine-protein kinase Mer levels,0
545,Matrix metalloproteinase-12 levels,0
546,Thrombospondin-2 levels,0
547,NF-kappa-B essential modulator levels,0
548,Angiopoietin-1 receptor levels,0
549,Proteinase-activated receptor 1 levels,0
550,Poly [ADP-ribose] polymerase 1 levels,0
551,Tumor necrosis factor receptor superfamily member 13B levels,0
552,Programmed cell death 1 ligand 2 levels,0
553,Placenta growth factor levels,0
554,Polymeric immunoglobulin receptor levels,0
555,CD166 antigen levels,0
556,Serine protease 27 levels,0
557,Tyrosine-protein kinase receptor UFO levels,0
558,Azurocidin levels,0
559,P-selectin glycoprotein ligand 1 levels,0
560,Caspase-3 levels,0
561,C-C motif chemokine 15 levels,0
562,C-C motif chemokine 16 levels,0
564,Serpin A12 levels,0
565,SLAM family member 7 levels,0
566,"Superoxide dismutase [Mn],mitochondrial levels",0
568,Spondin-2 levels,0
569,Macrophage receptor MARCO levels,0
571,Protein-glutamine gamma-glutamyltransferase 2 levels,0
572,Matrix metalloproteinase-7 levels,0
573,Thrombopoietin levels,0
574,Pappalysin-1 levels,0
575,Thrombomodulin levels,0
576,Tumor necrosis factor receptor superfamily member 10A levels,0
577,Tumor necrosis factor receptor superfamily member 11A levels,0
578,Platelet-derived growth factor subunit B levels,0
579,TNF-related apoptosis-inducing ligand receptor 2 levels,0
580,V-set and immunoglobulin domain-containing protein 2 levels,0
581,XCL1 levels,0
582,Prolargin levels,0
583,Aminopeptidase N levels,0
584,Prostasin levels,0
585,Bleomycin hydrolase levels,0
586,Pentraxin-related protein PTX3 levels,0
587,Receptor for advanced glycosylation end products levels,0
588,C-C motif chemokine 24 levels,0
589,Scavenger receptor cysteine-rich type 1 protein M130 levels,0
590,Complement component C1q receptor levels,0
591,Cadherin-5 levels,0
592,Chitinase-3-like protein 1 levels,0
593,Chitotriosidase-1 levels,0
594,Contactin-1 levels,0
595,Collagen alpha-1 (I) chain levels,0
596,Carboxypeptidase A1 levels,0
597,Carboxypeptidase B levels,0
598,Cystatin-B levels,0
599,Cathepsin D levels,0
600,Cathepsin Z levels,0
601,C-X-C motif chemokine 16 levels,0
602,Protein delta homolog 1 levels,0
603,Epidermal growth factor levels,0
604,Ephrin type-B receptor 4 levels,0
605,"Fatty acid-binding protein, adipocyte levels",0
606,Tumor necrosis factor receptor superfamily member 6 levels,0
608,Galectin-4 levels,0
609,Granulins levels,0
610,Intercellular adhesion molecule 2 levels,0
611,Insulin-like growth factor-binding protein 1 levels,0
612,Insulin-like growth factor-binding protein 2 levels,0
614,Scavenger receptor cysteine-rich domain-containing group B protein levels,0
615,Sulfatase-modifying factor 2 levels,0
616,Trefoil factor 2 levels,0
617,Thimet oligopeptidase levels,0
618,Thyrotropin subunit beta levels,0
619,Thioredoxin domain-containing protein 5 levels,0
620,Thymidine phosphorylase levels,0
621,Tyrosine-protein kinase receptor TYRO3 levels,0
622,Ubiquitin carboxyl-terminal hydrolase 8 levels,0
623,Versican core protein levels,0
624,Angiotensin-converting enzyme 2 levels,0
625,A disintegrin and metalloproteinase with thrombospondin motifs 13 levels,0
626,Agouti-related protein levels,0
627,Protein AMBP levels,0
628,Angiopoietin-1 levels,0
629,Bone morphogenetic protein 6 levels,0
630,Brother of CDO levels,0
631,"Carbonic anhydrase 5A,mitochondrial levels",0
632,C-C motif chemokine 17 levels,0
633,C-C motif chemokine 3 levels,0
634,T-cell surface glycoprotein CD4 levels,0
635,SLAM family member 5 levels,0
636,Carcinoembryonic antigenrelated cell adhesion molecule 8 levels,0
